time_s,voltage_V
-1.050000000000000111e-05,-1.975999999999999979e-01
-1.048000000000000130e-05,-1.975999999999999979e-01
-1.046000000000000150e-05,-1.968000000000000027e-01
-1.044000000000000169e-05,-1.968000000000000027e-01
-1.042000000000000018e-05,-1.984000000000000208e-01
-1.040000000000000038e-05,-1.975999999999999979e-01
-1.038000000000000057e-05,-1.960000000000000075e-01
-1.036000000000000076e-05,-1.968000000000000027e-01
-1.034000000000000095e-05,-1.975999999999999979e-01
-1.032000000000000114e-05,-1.968000000000000027e-01
-1.030000000000000133e-05,-1.975999999999999979e-01
-1.028000000000000153e-05,-1.952000000000000124e-01
-1.026000000000000002e-05,-1.960000000000000075e-01
-1.024000000000000021e-05,-1.975999999999999979e-01
-1.022000000000000041e-05,-1.960000000000000075e-01
-1.020000000000000060e-05,-1.952000000000000124e-01
-1.018000000000000079e-05,-1.960000000000000075e-01
-1.016000000000000098e-05,-1.968000000000000027e-01
-1.014000000000000117e-05,-1.968000000000000027e-01
-1.012000000000000136e-05,-1.960000000000000075e-01
-1.010000000000000155e-05,-1.968000000000000027e-01
-1.008000000000000005e-05,-1.960000000000000075e-01
-1.006000000000000024e-05,-1.975999999999999979e-01
-1.004000000000000044e-05,-1.975999999999999979e-01
-1.002000000000000063e-05,-1.960000000000000075e-01
-1.000000000000000082e-05,-1.968000000000000027e-01
-9.980000000000001010e-06,-1.992000000000000159e-01
-9.960000000000001201e-06,-1.960000000000000075e-01
-9.940000000000001392e-06,-1.968000000000000027e-01
-9.920000000000001584e-06,-1.968000000000000027e-01
-9.900000000000000081e-06,-1.960000000000000075e-01
-9.880000000000000273e-06,-1.968000000000000027e-01
-9.860000000000000464e-06,-1.968000000000000027e-01
-9.840000000000000656e-06,-1.960000000000000075e-01
-9.820000000000000847e-06,-1.984000000000000208e-01
-9.800000000000001039e-06,-1.975999999999999979e-01
-9.780000000000001230e-06,-1.960000000000000075e-01
-9.760000000000001422e-06,-1.968000000000000027e-01
-9.740000000000001613e-06,-1.968000000000000027e-01
-9.720000000000000111e-06,-1.984000000000000208e-01
-9.700000000000000302e-06,-1.968000000000000027e-01
-9.680000000000000494e-06,-1.984000000000000208e-01
-9.660000000000000685e-06,-1.968000000000000027e-01
-9.640000000000000877e-06,-1.968000000000000027e-01
-9.620000000000001068e-06,-1.975999999999999979e-01
-9.600000000000001260e-06,-1.952000000000000124e-01
-9.580000000000001451e-06,-1.968000000000000027e-01
-9.560000000000001643e-06,-1.975999999999999979e-01
-9.540000000000000140e-06,-1.975999999999999979e-01
-9.520000000000000332e-06,-1.975999999999999979e-01
-9.500000000000000523e-06,-1.975999999999999979e-01
-9.480000000000000715e-06,-1.975999999999999979e-01
-9.460000000000000906e-06,-1.968000000000000027e-01
-9.440000000000001097e-06,-1.968000000000000027e-01
-9.420000000000001289e-06,-1.960000000000000075e-01
-9.400000000000001480e-06,-1.952000000000000124e-01
-9.380000000000001672e-06,-1.968000000000000027e-01
-9.360000000000000169e-06,-1.960000000000000075e-01
-9.340000000000000361e-06,-1.975999999999999979e-01
-9.320000000000000552e-06,-1.968000000000000027e-01
